Title,Content
"Poems, Potatoes",The text of this poem could not be published because of Copyright laws.
Leaving Early,The text of this poem could not be published because of Copyright laws.
The Bee Meeting,The text of this poem could not be published because of Copyright laws.
Virgin In A Tree,The text of this poem could not be published because of Copyright laws.
Sleepers,The text of this poem could not be published because of Copyright laws.
Fiesta Melons,The text of this poem could not be published because of Copyright laws.
The Thin People,The text of this poem could not be published because of Copyright laws.
Vanity Fair,The text of this poem could not be published because of Copyright laws.
The Swarm,The text of this poem could not be published because of Copyright laws.
Faun,The text of this poem could not be published because of Copyright laws.
Tale Of A Tub,The text of this poem could not be published because of Copyright laws.
The Manor Garden,The text of this poem could not be published because of Copyright laws.
The Munich Mannequins,The text of this poem could not be published because of Copyright laws.
The Sleepers,The text of this poem could not be published because of Copyright laws.
The Disquieting Muses,The text of this poem could not be published because of Copyright laws.
The Eye-Mote,The text of this poem could not be published because of Copyright laws.
Sleep In The Mojave Desert,The text of this poem could not be published because of Copyright laws.
The Queen's Complaint,The text of this poem could not be published because of Copyright laws.
Two Views Of A Cadaver Room,The text of this poem could not be published because of Copyright laws.
Goatsucker,The text of this poem could not be published because of Copyright laws.
Polly's Tree,The text of this poem could not be published because of Copyright laws.
Resolve,The text of this poem could not be published because of Copyright laws.
The Other Two,The text of this poem could not be published because of Copyright laws.
Nick And The Candlestick,The text of this poem could not be published because of Copyright laws.
Two Campers In Cloud Country,The text of this poem could not be published because of Copyright laws.
Two Sisters Of Persephone,The text of this poem could not be published because of Copyright laws.
Strumpet Song,The text of this poem could not be published because of Copyright laws.
The Couriers,The text of this poem could not be published because of Copyright laws.
Purdah,The text of this poem could not be published because of Copyright laws.
Wintering,The text of this poem could not be published because of Copyright laws.
Totem,The text of this poem could not be published because of Copyright laws.
Lyonnesse,The text of this poem could not be published because of Copyright laws.
The Bull Of Bendylaw,The text of this poem could not be published because of Copyright laws.
All The Dead Dears,"Rigged poker -stiff on her back
With a granite grin
This antique museum-cased lady
Lies, companioned by the gimcrack
Relics of a mouse and a shrew
That battened for a day on her ankle-bone.
These three, unmasked now, bear
Dry witness
To the gross eating game
We'd wink at if we didn't hear
Stars grinding, crumb by crumb,
Our own grist down to its bony face.
How they grip us through think and thick,
These barnacle dead!
This lady here's no kin
Of mine, yet kin she is: she'll suck
Blood and whistle my narrow clean
To prove it. As I think now of her hand,
From the mercury-backed glass
Mother, grandmother, greatgrandmother
Reach hag hands to haul me in,
And an image looms under the fishpond surface
Where the daft father went down
With orange duck-feet winnowing this hair —-
All the long gone darlings: They
Get back, though, soon,
Soon: be it by wakes, weddings,
Childbirths or a family barbecue:
Any touch, taste, tang's
Fit for those outlaws to ride home on,
And to sanctuary: usurping the armchair
Between tick
And tack of the clock, until we go,
Each skulled-and-crossboned Gulliver
Riddled with ghosts, to lie
Deadlocked with them, taking roots as cradles rock."
Landowners,The text of this poem could not be published because of Copyright laws.
Prospect,The text of this poem could not be published because of Copyright laws.
A Winter Ship,"At this wharf there are no grand landings to speak of.
Red and orange barges list and blister
Shackled to the dock, outmoded, gaudy,
And apparently indestructible.
The sea pulses under a skin of oil.
A gull holds his pose on a shanty ridgepole,
Riding the tide of the wind, steady
As wood and formal, in a jacket of ashes,
The whole flat harbor anchored in
The round of his yellow eye-button.
A blimp swims up like a day-moon or tin
Cigar over his rink of fishes.
The prospect is dull as an old etching.
They are unloading three barrels of little crabs.
The pier pilings seem about to collapse
And with them that rickety edifice
Of warehouses, derricks, smokestacks and bridges
In the distance. All around us the water slips
And gossips in its loose vernacular,
Ferrying the smells of cod and tar.
Farther out, the waves will be mouthing icecakes —-
A poor month for park-sleepers and lovers.
Even our shadows are blue with cold.
We wanted to see the sun come up
And are met, instead, by this iceribbed ship,
Bearded and blown, an albatross of frost,
Relic of tough weather, every winch and stay
Encased in a glassy pellicle.
The sun will diminish it soon enough:
Each wave-tip glitters like a knife."
A Sorcerer Bids Farewell To Seem,"I'm through with this grand looking-glass hotel
where adjectives play croquet with flamingo nouns;
methinks I shall absent me for a while
from rhetoric of these rococo queens.
Item : chuck out royal rigmarole of props
and auction off each rare white-rabbit verb;
send my muse Alice packing with gaudy scraps
of mushroom simile and gryphon garb.
My native sleight-of-hand is wearing out :
mad hatter's hat yields no new metaphor,
and jabberwock will not translate his songs :
it's time to vanish like the cheshire cat
alone to that authentic island where
cabbages are cabbages; kings : kings."
"Winter Landscape, With Rooks",The text of this poem could not be published because of Copyright laws.
Sculptor,The text of this poem could not be published because of Copyright laws.
Metaphors,"I'm a riddle in nine syllables,
An elephant, a ponderous house,
A melon strolling on two tendrils.
O red fruit, ivory, fine timbers!
This loaf's big with its yeasty rising.
Money's new-minted in this fat purse.
I'm a means, a stage, a cow in calf.
I've eaten a bag of green apples,
Boarded the train there's no getting off."
Love Is A Parallax,"'Perspective betrays with its dichotomy:
train tracks always meet, not here, but only
in the impossible mind's eye;
horizons beat a retreat as we embark
on sophist seas to overtake that mark
where wave pretends to drench real sky.'
'Well then, if we agree, it is not odd
that one man's devil is another's god
or that the solar spectrum is
a multitude of shaded grays; suspense
on the quicksands of ambivalence
is our life's whole nemesis.
So we could rave on, darling, you and I,
until the stars tick out a lullaby
about each cosmic pro and con;
nothing changes, for all the blazing of
our drastic jargon, but clock hands that move
implacably from twelve to one.
We raise our arguments like sitting ducks
to knock them down with logic or with luck
and contradict ourselves for fun;
the waitress holds our coats and we put on
the raw wind like a scarf; love is a faun
who insists his playmates run.
Now you, my intellectual leprechaun,
would have me swallow the entire sun
like an enormous oyster, down
the ocean in one gulp: you say a mark
of comet hara-kiri through the dark
should inflame the sleeping town.
So kiss: the drunks upon the curb and dames
in dubious doorways forget their monday names,
caper with candles in their heads;
the leaves applaud, and santa claus flies in
scattering candy from a zeppelin,
playing his prodigal charades.
The moon leans down to took; the tilting fish
in the rare river wink and laugh; we lavish
blessings right and left and cry
hello, and then hello again in deaf
churchyard ears until the starlit stiff
graves all carol in reply.
Now kiss again: till our strict father leans
to call for curtain on our thousand scenes;
brazen actors mock at him,
multiply pink harlequins and sing
in gay ventriloquy from wing to wing
while footlights flare and houselights dim.
Tell now, we taunt where black or white begins
and separate the flutes from violins:
the algebra of absolutes
explodes in a kaleidoscope of shapes
that jar, while each polemic jackanapes
joins his enemies' recruits.
The paradox is that 'the play's the thing':
though prima donna pouts and critic stings,
there burns throughout the line of words,
the cultivated act, a fierce brief fusion
which dreamers call real, and realists, illusion:
an insight like the flight of birds:
Arrows that lacerate the sky, while knowing
the secret of their ecstasy's in going;
some day, moving, one will drop,
and, dropping, die, to trace a wound that heals
only to reopen as flesh congeals:
cycling phoenix never stops.
So we shall walk barefoot on walnut shells
of withered worlds, and stamp out puny hells
and heavens till the spirits squeak
surrender: to build our bed as high as jack's
bold beanstalk; lie and love till sharp scythe hacks
away our rationed days and weeks.
Then jet the blue tent topple, stars rain down,
and god or void appall us till we drown
in our own tears: today we start
to pay the piper with each breath, yet love
knows not of death nor calculus above
the simple sum of heart plus heart."
Dirge For A Joker,"Always in the middle of a kiss
Came the profane stimulus to cough;
Always from teh pulpit during service
Leaned the devil prompting you to laugh.
Behind mock-ceremony of your grief
Lurked the burlesque instinct of the ham;
You never altered your amused belief
That life was a mere monumental sham.
From the comic accident of birth
To the final grotesque joke of death
Your malady of sacrilegious mirth
Spread gay contagion with each clever breath.
Now you must play the straight man for a term
And tolerate the humor of the worm."
Family Reunion,"Outside in the street I hear
A car door slam; voices coming near;
Incoherent scraps of talk
And high heels clicking up the walk;
The doorbell rends the noonday heat
With copper claws;
A second's pause.
The dull drums of my pulses beat
Against a silence wearing thin.
The door now opens from within.
Oh, hear the clash of people meeting —-
The laughter and the screams of greeting :
Fat always, and out of breath,
A greasy smack on every cheek
From Aunt Elizabeth;
There, that's the pink, pleased squeak
Of Cousin Jane, out spinster with
The faded eyes
And hands like nervous butterflies;
While rough as splintered wood
Across them all
Rasps the jarring baritone of Uncle Paul;
The youngest nephew gives a fretful whine
And drools at the reception line.
Like a diver on a lofty spar of land
Atop the flight of stairs I stand.
A whirlpool leers at me,
I cast off my identity
And make the fatal plunge."
Owl,"Clocks belled twelve. Main street showed otherwise
Than its suburb of woods : nimbus—-
Lit, but unpeopled, held its windows
Of wedding pastries,
Diamond rings, potted roses, fox-skins
Ruddy on the wax mannequins
In a glassed tableau of affluence.
From deep-sunk basements
What moved the pale, raptorial owl
Then, to squall above the level
Of streetlights and wires, its wall to wall
Wingspread in control
Of the ferrying currents, belly
Dense-feathered, fearfully soft to
Look upon? Rats' teeth gut the city
Shaken by owl cry."
Female Author,"All day she plays at chess with the bones of the world:
Favored (while suddenly the rains begin
Beyond the window) she lies on cushions curled
And nibbles an occasional bonbon of sin.
Prim, pink-breasted, feminine, she nurses
Chocolate fancies in rose-papered rooms
Where polished higboys whisper creaking curses
And hothouse roses shed immortal blooms.
The garnets on her fingers twinkle quick
And blood reflects across the manuscript;
She muses on the odor, sweet and sick,
Of festering gardenias in a crypt,
And lost in subtle metaphor, retreats
From gray child faces crying in the streets."
Childless Woman,"The womb
Rattles its pod, the moon
Discharges itself from the tree with nowhere to go.
My landscape is a hand with no lines,
The roads bunched to a knot,
The knot myself,
Myself the rose you acheive—-
This body,
This ivory
Ungodly as a child's shriek.
Spiderlike, I spin mirrors,
Loyal to my image,
Uttering nothing but blood—-
Taste it, dark red!
And my forest
My funeral,
And this hill and this
Gleaming with the mouths of corpses."
Witch Burning,"In the marketplace they are piling the dry sticks.
A thicket of shadows is a poor coat. I inhabit
The wax image of myself, a doll's body.
Sickness begins here: I am the dartboard for witches.
Only the devil can eat the devil out.
In the month of red leaves I climb to a bed of fire.
It is easy to blame the dark: the mouth of a door,
The cellar's belly. They've blown my sparkler out.
A black-sharded lady keeps me in parrot cage.
What large eyes the dead have!
I am intimate with a hairy spirit.
Smoke wheels from the beak of this empty jar.
If I am a little one, I can do no harm.
If I don't move about, I'll knock nothing over. So I said,
Sitting under a potlid, tiny and inert as a rice grain.
They are turning the burners up, ring after ring.
We are full of starch, my small white fellows. We grow.
It hurts at first. The red tongues will teach the truth.
Mother of beetles, only unclench your hand:
I'll fly through the candle's mouth like a singeless moth.
Give me back my shape. I am ready to construe the days
I coupled with dust in the shadow of a stone.
My ankles brighten. Brightness ascends my thighs.
I am lost, I am lost, in the robes of all this light."
Lament,"The sting of bees took away my father
who walked in a swarming shroud of wings
and scorned the tick of the falling weather.
Lightning licked in a yellow lather
but missed the mark with snaking fangs:
the sting of bees took away my father.
Trouncing the sea like a ragin bather,
he rode the flood in a pride of prongs
and scorned the tick of the falling weather.
A scowl of sun struck down my mother,
tolling her grave with golden gongs,
but the sting of bees took away my father.
He counted the guns of god a bother,
laughed at the ambush of angels' tongues,
and scorned the tick of the falling weather.
O ransack the four winds and find another
man who can mangle the grin of kings:
the sting of bees took away my father
who scorned the tick of the falling weather."
Magi,"The abstracts hover like dull angels:
Nothing so vulgar as a nose or an eye
Bossing the ethereal blanks of their face-ovals.
Their whiteness bears no relation to laundry,
Snow, chalk or suchlike. They're
The real thing, all right: the Good, the True . . .
Salutary and pure as boiled water,
Loveless as the multiplication table.
While the child smiles into thin air.
Six months in the world, and she is able
To rock on all fours like a padded hammock.
For her, the heavy notion of Evil
Attending her cost less than a bellyache,
And Love the mother of milk, no theory.
They mistake their star, these papery godfolk.
They want the crib of some lamp-headed Plato.
Let them astound his heart with their merit.
What girl ever flourished in such company?"
To A Jilted Lover,"Cold on my narrow cot I lie
and in sorrow look
through my window-square of black:
figured in the midnight sky,
a mosaic of stars
diagrams the falling years,
while from the moon, my lover's eye
chills me to death
with radiance of his frozen faith.
Once I wounded him with so
small a thorn
I never thought his flesh would burn
or that the heat within would grow
until he stood
incandescent as a god;
now there is nowhere I can go
to hide from him:
moon and sun reflect his flame.
In the morning all shall be
the same again:
stars pale before the angry dawn;
the gilded cock will turn for me
the rack of time
until the peak of noon has come
and by that glare, my love will see
how I am still
blazing in my golden hell."
The Jailer,"My night sweats grease his breakfast plate.
The same placard of blue fog is wheeled into position
With the same trees and headstones.
Is that all he can come up with,
The rattler of keys?
I have been drugged and raped.
Seven hours knocked out of my right mind
Into a black sack
Where I relax, foetus or cat,
Lever of his wet dreams.
Something is gone.
My sleeping capsule, my red and blue zeppelin
Drops me from a terrible altitude.
Carapace smashed,
I spread to the beaks of birds.
O little gimlets—
What holes this papery day is already full of!
He his been burning me with cigarettes,
Pretending I am a negress with pink paws.
I am myself. That is not enough.
The fever trickles and stiffens in my hair.
My ribs show. What have I eaten?
Lies and smiles.
Surely the sky is not that color,
Surely the grass should be rippling.
All day, gluing my church of burnt matchsticks,
I dream of someone else entirely.
And he, for this subversion,
Hurts me, he
With his armor of fakery,
His high cold masks of amnesia.
How did I get here?
Indeterminate criminal,
I die with variety—
Hung, starved, burned, hooked.
I imagine him
Impotent as distant thunder,
In whose shadow I have eaten my ghost ration.
I wish him dead or away.
That, it seems, is the impossibility.
That being free. What would the dark
Do without fevers to eat?
What would the light
Do without eyes to knife, what would he
Do, do, do without me?"
Candles,"They are the last romantics, these candles:
Upside-down hearts of light tipping wax fingers,
And the fingers, taken in by their own haloes,
Grown milky, almost clear, like the bodies of saints.
It is touching, the way they'll ignore
A whole family of prominent objects
Simply to plumb the deeps of an eye
In its hollow of shadows, its fringe of reeds,
And the owner past thirty, no beauty at all.
Daylight would be more judicious,
Giving everybody a fair hearing.
They should have gone out with the balloon flights and the stereopticon.
This is no time for the private point of view.
When I light them, my nostrils prickle.
Their pale, tentative yellows
Drag up false, Edwardian sentiments,
And I remember my maternal grandmother from Vienna.
As a schoolgirl she gave roses to Franz Josef.
The burghers sweated and wept. The children wore white.
And my grandfather moped in the Tyrol,
Imagining himself a headwaiter in America,
Floating in a high-church hush
Among ice buckets, frosty napkins.
These little globes of light are sweet as pears.
Kindly with invalids and mawkish women,
They mollify the bald moon.
Nun-souled, they burn heavenward and never marry.
The eyes of the child I nurse are scarcely open.
In twenty years I shall be retrograde
As these drafty ephemerids.
I watch their spilt tears cloud and dull to pearls.
How shall I tell anything at all
To this infant still in a birth-drowse?
Tonight, like a shawl, the mild light enfolds her,
The shadows stoop over the guests at a christening."
The Stones,"This is the city where men are mended.
I lie on a great anvil.
The flat blue sky-circle
Flew off like the hat of a doll
When I fell out of the light. I entered
The stomach of indifference, the wordless cupboard.
The mother of pestles diminished me.
I became a still pebble.
The stones of the belly were peaceable,
The head-stone quiet, jostled by nothing.
Only the mouth-hole piped out,
Importunate cricket
In a quarry of silences.
The people of the city heard it.
They hunted the stones, taciturn and separate,
The mouth-hole crying their locations.
Drunk as a foetus
I suck at the paps of darkness.
The food tubes embrace me. Sponges kiss my lichens away.
The jewelmaster drives his chisel to pry
Open one stone eye.
This is the after-hell: I see the light.
A wind unstoppers the chamber
Of the ear, old worrier.
Water mollifies the flint lip,
And daylight lays its sameness on the wall.
The grafters are cheerful,
Heating the pincers, hoisting the delicate hammers.
A current agitates the wires
Volt upon volt. Catgut stitches my fissures.
A workman walks by carrying a pink torso.
The storerooms are full of hearts.
This is the city of spare parts.
My swaddled legs and arms smell sweet as rubber.
Here they can doctor heads, or any limb.
On Fridays the little children come
To trade their hooks for hands.
Dead men leave eyes for others.
Love is the uniform of my bald nurse.
Love is the bone and sinew of my curse.
The vase, reconstructed, houses
The elusive rose.
Ten fingers shape a bowl for shadows.
My mendings itch. There is nothing to do.
I shall be good as new."
The Hanging Man,"By the roots of my hair some god got hold of me.
I sizzled in his blue volts like a desert prophet.
The nights snapped out of sight like a lizard's eyelid :
A world of bald white days in a shadeless socket.
A vulturous boredom pinned me in this tree.
If he were I, he would do what I did."
Aquatic Nocturne,"deep in liquid
turquoise slivers
of dilute light
quiver in thin streaks
of bright tinfoil
on mobile jet:
pale flounder
waver by
tilting silver:
in the shallows
agile minnows
flicker gilt:
grapeblue mussels
dilate lithe and
pliant valves:
dull lunar globes
of blubous jellyfish
glow milkgreen:
eels twirl
in wily spirals
on elusive tails:
adroir lobsters
amble darkly olive
on shrewd claws:
down where sound
comes blunt and wan
like the bronze tone
of a sunken gong."
"Yadwigha, On A Red Couch, Among Lillies","Yadwigha, the literalists once wondered how you
Came to be lying on this baroque couch
Upholstered in red velvet, under the eye
Of uncaged tigers and a tropical moon,
Set in intricate wilderness of green
Heart-shaped leaves, like catalpa leaves, and lillies
Of monstrous size, like no well-bred lilies
It seems teh consistent critics wanted you
To choose between your world of jungle green
And the fashionable monde of the red couch
With its prim bric-à-brac, without a moon
To turn you luminous, without the eye
Of tigers to be stilled by your dark eye
And body whiter than its frill of lilies:
They'd have had yellow silk screening the moon,
Leaves and lilies flattened to paper behind you
Or, at most, to a mille-fleurs tapestry. But the couch
Stood stubborn in it's jungle: red against green,
Red against fifty variants of green,
The couch glared out at the prosaic eye.
So Rousseau, to explain why the red couch
Persisted in the picture with the lilies,
Tigers, snakes, and the snakecharmer and you,
And birds of paradise, and the round moon,
Described how you fell dreaming at full of moon
On a red velvet couch within your green-
Tessellared boudoir. Hearing flutes, you
Dreamed yourself away in the moon's eye
To a beryl jungle, and dreamed that bright moon-lilies
Nodded their petaled heads around your couch.
And that, Rousseau told the critics, was why the couch
Accompanied you. So they nodded at the couch with the moon
And the snakecharmer's song and the gigantic lilies,
Marvelingly numbered the many shades of green.
But to a friend, in private, Rousseau confessed his eye
So possessed by the glowing red of the couch which you,
Yadwigha, pose on, that he put you on the couch
To feed his eye with red, such red! under the moon,
In the midst of all that green and those great lilies!"
Burning The Letters,"I made a fire; being tired
Of the white fists of old
Letters and their death rattle
When I came too close to the wastebasket
What did they know that I didn't?
Grain by grain, they unrolled
Sands where a dream of clear water
Grinned like a getaway car.
I am not subtle
Love, love, and well, I was tired
Of cardboard cartons the color of cement or a dog pack
Holding in it's hate
Dully, under a pack of men in red jackets,
And the eyes and times of the postmarks.
This fire may lick and fawn, but it is merciless:
A glass case
My fingers would enter although
They melt and sag, they are told
Do not touch.
And here is an end to the writing,
The spry hooks that bend and cringe and the smiles, the smiles
And at least it will be a good place now, the attic.
At least I won't be strung just under the surface,
Dumb fish
With one tin eye,
Watching for glints,
Riding my Arctic
Between this wish and that wish.
So, I poke at the carbon birds in my housedress.
They are more beautiful than my bodiless owl,
They console me—
Rising and flying, but blinded.
They would flutter off, black and glittering, they would be coal angels
Only they have nothing to say but anybody.
I have seen to that.
With the butt of a rake
I flake up papers that breathe like people,
I fan them out
Between the yellow lettuces and the German cabbage
Involved in it's weird blue dreams
Involved in a foetus.
And a name with black edges
Wilts at my foot,
Sinuous orchis
In a nest of root-hairs and boredom—
Pale eyes, patent-leather gutturals!
Warm rain greases my hair, extinguishes nothing.
My veins glow like trees.
The dogs are tearing a fox. This is what it is like
A read burst and a cry
That splits from it's ripped bag and does not stop
With that dead eye
And the stuffed expression, but goes on
Dyeing the air,
Telling the particles of the clouds, the leaves, the water
What immortality is. That it is immortal."
"I Want, I Want","Open-mouthed, the baby god
Immense, bald, though baby-headed,
Cried out for the mother's dug.
The dry volcanoes cracked and split,
Sand abraded the milkless lip.
Cried then for the father's blood
Who set wasp, wolf and shark to work,
Engineered the gannet's beak.
Dry-eyed, the inveterate patriarch
Raised his men of skin and bone,
Barbs on the crown of gilded wire,
Thorns on the bloody rose-stem."
Man In Black,"Where the three magenta
Breakwaters take the shove
And suck of the grey sea
To the left, and the wave
Unfists against the dun
Barb-wired headland of
The Deer Island prison
With its trim piggeries,
Hen huts and cattle green
To the right, and March ice
Glazes the rock pools yet,
Snuff-colored sand cliffs rise
Over a great stone spit
Bared by each falling tide,
And you, across those white
Stones, strode out in you dead
Black coat, black shoes, and your
Black hair till there you stood,
Fixed vortex on the far
Tip, riveting stones, air,
All of it, together."
The Ghost's Leavetaking,"Enter the chilly no-man's land of about
Five o'clock in the morning, the no-color void
Where the waking head rubbishes out the draggled lot
Of sulfurous dreamscapes and obscure lunar conundrums
Which seemed, when dreamed, to mean so profoundly much,
Gets ready to face the ready-made creation
Of chairs and bureaus and sleep-twisted sheets.
This is the kingdom of the fading apparition,
The oracular ghost who dwindles on pin-legs
To a knot of laundry, with a classic bunch of sheets
Upraised, as a hand, emblematic of farewell.
At this joint between two worlds and two entirely
Incompatible modes of time, the raw material
Of our meat-and-potato thoughts assumes the nimbus
Of ambrosial revelation. And so departs.
Chair and bureau are the hieroglyphs
Of some godly utterance wakened heads ignore:
So these posed sheets, before they thin to nothing,
Speak in sign language of a lost otherworld,
A world we lose by merely waking up.
Trailing its telltale tatters only at the outermost
Fringe of mundane vision, this ghost goes
Hand aloft, goodbye, goodbye, not down
Into the rocky gizzard of the earth,
But toward a region where our thick atmosphere
Diminishes, and God knows what is there.
A point of exclamation marks that sky
In ringing orange like a stellar carrot.
Its round period, displaced and green,
Suspends beside it the first point, the starting
Point of Eden, next the new moon's curve.
Go, ghost of our mother and father, ghost of us,
And ghost of our dreams' children, in those sheets
Which signify our origin and end,
To the cloud-cuckoo land of color wheels
And pristine alphabets and cows that moo
And moo as they jump over moons as new
As that crisp cusp toward which you voyage now.
Hail and farewell. Hello, goodbye. O keeper
Of the profane grail, the dreaming skull."
