Title,Content
Baseball Canto,"Watching baseball, sitting in the sun, eating popcorn,
reading Ezra Pound,
and wishing that Juan Marichal would hit a hole right through the
Anglo-Saxon tradition in the first Canto
and demolish the barbarian invaders.
When the San Francisco Giants take the field
and everybody stands up for the National Anthem,
with some Irish tenor's voice piped over the loudspeakers,
with all the players struck dead in their places
and the white umpires like Irish cops in their black suits and little
black caps pressed over their hearts,
Standing straight and still like at some funeral of a blarney bartender,
and all facing east,
as if expecting some Great White Hope or the Founding Fathers to
appear on the horizon like 1066 or 1776.
But Willie Mays appears instead,
in the bottom of the first,
and a roar goes up as he clouts the first one into the sun and takes
off, like a footrunner from Thebes.
The ball is lost in the sun and maidens wail after him
as he keeps running through the Anglo-Saxon epic.
And Tito Fuentes comes up looking like a bullfighter
in his tight pants and small pointy shoes.
And the right field bleechers go made with Chicanos and blacks
and Brooklyn beer-drinkers,
""Tito! Sock it to him, sweet Tito!""
And sweet Tito puts his foot in the bucket
and smacks one that don't come back at all,
and flees around the bases
like he's escaping from the United Fruit Company.
As the gringo dollar beats out the pound.
And sweet Tito beats it out like he's beating out usury,
not to mention fascism and anti-semitism.
And Juan Marichal comes up,
and the Chicano bleechers go loco again,
as Juan belts the first ball out of sight,
and rounds first and keeps going
and rounds second and rounds third,
and keeps going and hits paydirt
to the roars of the grungy populace.
As some nut presses the backstage panic button
for the tape-recorded National Anthem again,
to save the situation.
But it don't stop nobody this time,
in their revolution round the loaded white bases,
in this last of the great Anglo-Saxon epics,
in the territorio libre of Baseball."
Oh You Gatherer,"Oh you gatherer
of the fine ash of poetry
ash of the too-white flame
of poetry
Consider those who have burned before you
in the so-white fire
Crucible of Keats and Campana
Bruno and Sappho
Rimbaud and Poe and Corso
And Shelley burning on the beach
at Viarreggio
And now in the night
in the general conflagration
the white light
still consuming us
small clowns
with our little tapers
held to the flame"
A Vast Confusion,"Long long I lay in the sands
Sounds of trains in the surf
in subways of the sea
And an even greater undersound
of a vast confusion in the universe
a rumbling and a roaring
as of some enormous creature turning
under sea and earth
a billion sotto voices murmuring
a vast muttering
a swelling stuttering
in ocean's speakers
world's voice-box heard with ear to sand
a shocked echoing
a shocking shouting
of all life's voices lost in night
And the tape of it
someow running backwards now
through the Moog Synthesizer of time
Chaos unscrambled
back to the first
harmonies
And the first light"
Underwear,"I didn’t get much sleep last night
thinking about underwear
Have you ever stopped to consider
underwear in the abstract
When you really dig into it
some shocking problems are raised
Underwear is something we all have to deal with
Everyone wears
some kind of underwear
Even Indians wear underwear
Even Cubans
wear underwear
The Pope wears underwear I hope
The Governor of Louisiana wears underwear
I saw him on TV
He must have had tight underwear
He squirmed a lot
Underwear can really get you in a bind
You have seen the underwear ads for men and women
so alike but so different
Women’s underwear holds things up
Men’s underwear holds things down
Underwear is one thing
men and women do have in common
Underwear is all we have between us
You have seen the three-color pictures
with crotches encircled
to show the areas of extra strength
with three-way stretch
promising full freedom of action
Don’t be deceived
It’s all based on the two-party system
which doesn’t allow much freedom of choice
the way things are set up
America in its Underwear
struggles thru the night
Underwear controls everything in the end
Take foundation garments for instance
They are really fascist forms
of underground government
making people believe
something but the truth
telling you what you can of can’t do
Did you ever try to get around a girdle
Perhaps Non-Violent Action
is the only answer
Did Gandhi wear a girdle?
Did Lady Macbeth wear a girdle?
Was that why Macbeth murdered sleep?
And the spot she was always rubbing -
Was it really her underwear?
Modern anglosaxon ladies
must have huge guilt complexes
always washing and washing and washing
Out damned spot
Underwear with spots very suspicious
Underwear with bulges very shocking
Underwear on clothesline a great flag of freedom
Someone has escaped his Underwear
May be naked somewhere
Help!
But don’t worry
Everybody’s still hung up in it
There won’t be no real revolution
And poetry still the underwear of the soul
And underwear still covering
a multitude of faults
in the geological sense -
strange sedimentary stones, inscrutable cracks!
If I were you I’d keep aside
an oversize pair of winter underwear
Do not go naked into that good night
And in the meantime
keep calm and warm and dry
No use stirring ourselves up prematurely
‘over Nothing’
Move forward with dignity
hand in vest
Don’t get emotional
And death shall have no dominion
There’s plenty of time my darling
Are we not still young and easy?
Don’t shout."
The Great Chinese Dragon,"The great Chinese dragon which is the greatest dragon in all the
world and which once upon a time was towed across the
Pacific by a crew of coolies rowing in an open boat—was
the first real live dragon ever actually to reach these shores
And the great Chinese dragon passing thru the Golden Gate
spouting streams of water like a string of fireboats then broke
loose somewhere near China Camp gulped down a hundred
Chinese seamen and forthwith ate all the shrimp in San Francisco Bay
And the great Chinese dragon was therefore forever after confined
in a Chinatown basement and ever since allowed out only for
Chinese New Year’s parades and other Unamerican demonstrations
paternally watched-over by those benevolent men in
blue who represent our more advanced civilization which has
reached such a high state of democracy as to allow even a
few barbarians to carry on their quaint native customs in our midst
And thus the great Chinese dragon which is the greatest dragon
in all the world now can only be seen creeping out of an
Adler Alley cellar like a worm out of a hole sometime during
the second week in February every year when it sorties out
of hibernation in its Chinese storeroom pushed from behind
by a band of fortythree Chinese electricians and technicians
who stuff its peristaltic accordion-body up thru a sidewalk
delivery entrance
And first the swaying snout appears and then the eyes at ground
level feeling along the curb and then the head itself casting
about and swayingand heaving finally up to the corner of
Grant Avenue itself where a huge paper sign proclaims the
World’s Largest Chinatown
And the great Chinese dragon’s jaws wired permanently agape as
if by a demented dentist to display the Cadmium teeth as the
hungry head heaves out into Grant Avenue right under the
sign and raising itself with a great snort of fire suddenly proclaims
the official firecracker start of the Chinese New Year
And the lightbulb eyes lighting up and popping out on coiled wire
springs and the body stretching and rocking further and
further around the corner and down Grant Avenue like a
caterpillar rollercoaster with the eyes sprung out and waving
in the air like the blind feelers of some mechanical preying
mantis and the eyes blinking on and off with Chinese red
pupils and tiny bamboo-blind eyelids going up and down
And here comes the St. Mary’s Chinese Girls’ Drum Corps and
here come sixteen white men in pith helmets beating big bass
drums representing the Order of the Moose and here comes
a gang of happy car salesmen disguised as Islam Shriners
and here comes a chapter of the Order of Improved Red Men
and here comes a cordon of motorcycle cops in crash helmets
with radios going followed by a small papier-mâché lion fed
with Nekko wafers and run by two guys left over from a
Ten-Ten festival which in turn is followed by the great
Chinese dragon itself gooking over balconies as it comes
And the great Chinese dragon has eaten a hundred humans and
their legs pop out of his underside and are his walking legs
which are not mentioned in the official printed program in
which he is written up as the Great Golden Dragon made in
Hong Kong to the specifications of the Chinese Chamber of
Commerce and he represents the force and mystery of life
and his head sways in the sky between the balconies as he
comes followed by six Chinese boy scouts wearing Keds and
carrying strings of batteries that light up the dragon like a
nighttime freeway
And he has lain all winter among a heap of collapsed paper
lanterns and green rubber lizards and ivory backscratchers
with the iron sidewalk doors closed over his head but he has
now sprung up with the first sign of Spring like the force of
life itself and his head sways in the sky and gooks in green
windows as he comes
And he is a monster with the head of a dog and the body of a
serpent risen yearly out of the sea to devour a virgin thrown
from a cliff to appease him and he is a young man handsome
and drunk ogling the girls and he has high ideals and a
hundred sport shoes and he says No to Mother and he is a
big red table the world will never tilt and he has big eyes
everywhere thru which he sees all womankind milkwhite and
dove-breasted and he will eat their waterflowers for he is the
cat with future feet wearing Keds and he eats cake out of
pastry windows and is hungrier and more potent and more
powerful and more omnivorous than the papier-mâché lion
run by the two guys and he is a great earthworm of lucky life
filled with flowing Chinese semen and he considers his own
and our existence in its most profound sense as he comes and
he has no Christian answer to the existential question even
as he sees the spiritual everywhere translucent in the material
world and he does not want to escape the responsibility of
being a dragon or the consequences of his long horny tail still
buried in the basement but the blue citizens on their talking
cycles think that he wants to escape and at all costs he must
not be allowed to escape because the great Chinese dragon
is the greatest potential dragon in all the world and if allowed
to escape from Chinatown might gallop away up their new
freeway at the Broadway entrance mistaking it for a Great
Wall of China or some other barbarian barrier and so go
careening along it chewing up stanchions and signposts and
belching forth some strange disintegrating medium which
might melt down the great concrete walls of America and
they are afraid of how far the great Chinese dragon might
really go starting from San Francisco and so they have
secretly and securely tied down the very end of his
tail in its
hole
so that
this great pulsing phallus of life at the very end of its parade
at the very end of Chinatown gives ones wild orgasm of a shudder
and rolls over fainting in the bright night street since even
for a dragon every orgasm is a little death
And then the great Chinese dragon starts silently shrinking and
shriveling up and drawing back and back to its first cave
and the soft silk skin wrinkles up and shrinks and
shrinks on its sprung bamboo bones and the handsome
dejected head hangs down like a defeated prizefighter’s and
so is stuffed down again a last into its private place and the
cellar sidewalk doors press down again over the great wilted
head with one small hole of an eye blinking still thru the
gratings of the metal doors as the great Chinese dragon gives
one last convulsive earthquake shake and rolls over dead-dog
to wait another white year for the final coming and the final
sowing of his oats and teeth"
Number 20,"The pennycandystore beyond the El
is where I first
fell in love
with unreality
Jellybeans glowed in the semi-gloom
of that september afternoon
A cat upon the counter moved among
the licorice sticks
and tootsie rolls
and Oh Boy Gum
Outside the leaves were falling as they died
A wind had blown away the sun
A girl ran in
Her hair was rainy
Her breasts were breathless in the little room
Outside the leaves were falling
and they cried
Too soon!  too soon!"
An Elegy On The Death Of Kenneth Patchen,"A poet is born
A poet dies
And all that lies between
is us
and the world
And the world lies about it
making as if it had got his message
even though it is poetry
but most of the world wishing
it could just forget about him
and his awful strange prophecies
Along with all the other strange things
he said about the world
which were all too true
and which made them fear him
more than they loved him
though he spoke much of love
Along with all the alarms he sounded
which turned out to be false
if only for the moment
all of which made them fear his tongue
more than they loved him
Though he spoke much of love
and never lived by ‘silence exile & cunning’
and was a loud conscientious objector to
the deaths we daily give each other
though we speak much of love
And when such a one dies
even the agents of Death should take note
and shake the shit from their wings
in Air Force One
But they do not
And the shit still flies
And the poet now is disconnected
and won’t call back
though he spoke much of love
And still we hear him say
‘Do I not deal with angels
when her lips I touch’
And still we hear him say
‘0 my darling troubles heaven
with her loveliness’
And still we hear him say
‘As we are so wonderfully done with each other
We can walk into our separate ‘sleep
On floors of music where the milkwhite cloak
of childhood lies’
And still we hear him saying
‘Therefore the constant powers do not lessen
Nor is the property of the spirit scattered
on the cold hills of these events’
And still we hear him asking
‘Do the dead know what time it is?’
He is gone under
He is scattered
undersea
and knows what time
but won’t be back to tell it
He would be too proud to call back anyway
And too full of strange laughter
to speak to us anymore anyway
And the weight of human experience
lies upon the world
like the chains of the ‘sea
in which he sings
And he swings in the tides of the sea
And his ashes are washed
in the ides of the sea
And ‘an astonished eye looks out of the air’
to see the poet singing there
And dusk falls down a coast somewhere
where a white horse without a rider
turns its head
to the sea"
The Changing Light,"The changing light
at San Francisco
is none of your East Coast light
none of your
pearly light of Paris
The light of San Francisco
is a sea light
an island light
And the light of fog
blanketing the hills
drifting in at night
through the Golden Gate
to lie on the city at dawn
And then the halcyon late mornings
after the fog burns off
and the sun paints white houses
with the sea light of Greece
with sharp clean shadows
making the town look like
it had just been painted
But the wind comes up at four o'clock
sweeping the hills
And then the veil of light of early evening
And then another scrim
when the new night fog
floats in
And in that vale of light
the city drifts
anchorless upon the ocean"
Recipe For Happiness Khaborovsk Or Anyplace,"One grand boulevard with trees
with one grand cafe in sun
with strong black coffee in very small cups.
One not necessarily very beautiful
man or woman who loves you.
One fine day.
Submitted by Britton"
Driving A Cardboard Automobile Without A License,"Driving a cardboard automobile without a license
at the turn of the century
my father ran into my mother
on a fun-ride at Coney Island
having spied each other eating
in a French boardinghouse nearby
And having decided right there and then
that she was right for him entirely
he followed her into
the playland of that evening
where the headlong meeting
of their ephemeral flesh on wheels
hurtled them forever together
And I now in the back seat
of their eternity
reaching out to embrace them"
Bird With Two Right Wings,"And now our government
a bird with two right wings
flies on from zone to zone
while we go on having our little fun & games
at each election
as if it really mattered who the pilot is
of Air Force One
(They're interchangeable, stupid!)
While this bird with two right wings
flies right on with its corporate flight crew
And this year its the Great Movie Cowboy in the cockpit
And next year its the great Bush pilot
And now its the Chameleon Kid
and he keeps changing the logo on his captains cap
and now its a donkey and now an elephant
and now some kind of donkephant
And now we recognize two of the crew
who took out a contract on America
and one is a certain gringo wretch
who's busy monkeywrenching
crucial parts of the engine
and its life-support systems
and they got a big fat hose
to siphon off the fuel to privatized tanks
And all the while we just sit there
in the passenger seats
without parachutes
listening to all the news that's fit to air
over the one-way PA system
about how the contract on America
is really good for us etcetera
As all the while the plane lumbers on
into its postmodern
manifest destiny"
Dove Sta Amore,"Dove sta amore
Where lies love
Dove sta amore
Here lies love
The ring dove love
In lyrical delight
Hear love's hillsong
Love's true willsong
Love's low plainsong
Too sweet painsong
In passages of night
Dove sta amore
Here lies love
The ring dove love
Dove sta amore
Here lies love"
History Of The Airplane,"And the Wright brothers said they thought they had invented
something that could make peace on earth
(if the wrong brothers didn’t get hold of it)
when their wonderful flying machine took off at Kitty Hawk
into the kingdom of birds but the parliament of birds was freaked out
by this man-made bird and fled to heaven
And then the famous Spirit of Saint Louis took off eastward and
flew across the Big Pond with Lindy at the controls in his leather
helmet and goggles hoping to sight the doves of peace but he did not
Even though he circled Versailles
And then the famous Yankee Clipper took off in the opposite
direction and flew across the terrific Pacific but the pacific doves
were frighted by this strange amphibious bird and hid in the orient sky
And then the famous Flying Fortress took off bristling with guns
and testosterone to make the world safe for peace and capitalism
but the birds of peace were nowhere to be found before or after Hiroshima
And so then clever men built bigger and faster flying machines and
these great man-made birds with jet plumage flew higher than any
real birds and seemed about to fly into the sun and melt their wings
and like Icarus crash to earth
And the Wright brothers were long forgotten in the high-flying
bombers that now began to visit their blessings on various Third
Worlds all the while claiming they were searching for doves of
peace
And they kept flying and flying until they flew right into the 21st
century and then one fine day a Third World struck back and
stormed the great planes and flew them straight into the beating
heart of Skyscraper America where there were no aviaries and no
parliaments of doves and in a blinding flash America became a part
of the scorched earth of the world
And a wind of ashes blows across the land
And for one long moment in eternity
There is chaos and despair
And buried loves and voices
Cries and whispers
Fill the air
Everywhere"
Seascape With Sun And Eagle,"Freer
than most birds
an eagle flies up
over San Francisco
freer than most places
soars high up
floats and glides high up
in the still
open spaces
flown from the mountains
floated down
far over ocean
where the sunset has begun
a mirror of itself
He sails high over
turning and turning
where seaplanes might turn
where warplanes might burn
He wheels about burning
in the red sun
climbs and glides
and doubles back upon himself
now over ocean
now over land
high over pinwheels suck in sand
where a rollercoaster used to stand
soaring eagle setting sun
All that is left of our wilderness"
To The Oracle At Delphi,"Great Oracle, why are you staring at me,
do I baffle you, do I make you despair?
I, Americus, the American,
wrought from the dark in my mother long ago,
from the dark of ancient Europa--
Why are you staring at me now
in the dusk of our civilization--
Why are you staring at me
as if I were America itself
the new Empire
vaster than any in ancient days
with its electronic highways
carrying its corporate monoculture
around the world
And English the Latin of our days--
Great Oracle, sleeping through the centuries,
Awaken now at last
And tell us how to save us from ourselves
and how to survive our own rulers
who would make a plutocracy of our democracy
in the Great Divide
between the rich and the poor
in whom Walt Whitman heard America singing
O long-silent Sybil,
you of the winged dreams,
Speak out from your temple of light
as the serious constellations
with Greek names
still stare down on us
as a lighthouse moves its megaphone
over the sea
Speak out and shine upon us
the sea-light of Greece
the diamond light of Greece
Far-seeing Sybil, forever hidden,
Come out of your cave at last
And speak to us in the poet's voice
the voice of the fourth person singular
the voice of the inscrutable future
the voice of the people mixed
with a wild soft laughter--
And give us new dreams to dream,
Give us new myths to live by!"
Away Above A Harborful,"Away above a harborful
of caulkless houses
among the charley noble chimneypots
of a rooftop rigged with clotheslines
a woman pastes up sails
upon the wind
hanging out her morning sheets
with wooden pins
O lovely mammal
her nearly naked breasts
throw taut shadows
when she stretches up
to hang at last the last of her
so white washed sins
but it is wetly amorous
and winds itself about her
clinging to her skin
So caught with arms
upraised
she tosses back her head
in voiceless laughter
and in choiceless gesture then
shakes out gold hair
while in the reachless seascape spaces
between the blown white shrouds
stand out the bright steamers
to kingdom come"
