Title,Content
Cause And Effect,"the best often die by their own hand
just to get away,
and those left behind
can never quite understand
why anybody
would ever want to
get away
from
them"
A Radio With Guts,"it was on the 2nd floor on Coronado Street
I used to get drunk
and throw the radio through the window
while it was playing, and, of course,
it would break the glass in the window
and the radio would sit there on the roof
still playing
and I'd tell my woman,
""Ah, what a marvelous radio!""
the next morning I'd take the window
off the hinges
and carry it down the street
to the glass man
who would put in another pane.
I kept throwing that radio through the window
each time I got drunk
and it would sit there on the roof
still playing-
a magic radio
a radio with guts,
and each morning I'd take the window
back to the glass man.
I don't remember how it ended exactly
though I do remember
we finally moved out.
there was a woman downstairs who worked in
the garden in her bathing suit,
she really dug with that trowel
and she put her behind up in the air
and I used to sit in the window
and watch the sun shine all over that thing
while the music played."
The Genius Of The Crowd,"there is enough treachery, hatred violence absurdity in the average
human being to supply any given army on any given day
and the best at murder are those who preach against it
and the best at hate are those who preach love
and the best at war finally are those who preach peace
those who preach god, need god
those who preach peace do not have peace
those who preach peace do not have love
beware the preachers
beware the knowers
beware those who are always reading books
beware those who either detest poverty
or are proud of it
beware those quick to praise
for they need praise in return
beware those who are quick to censor
they are afraid of what they do not know
beware those who seek constant crowds for
they are nothing alone
beware the average man the average woman
beware their love, their love is average
seeks average
but there is genius in their hatred
there is enough genius in their hatred to kill you
to kill anybody
not wanting solitude
not understanding solitude
they will attempt to destroy anything
that differs from their own
not being able to create art
they will not understand art
they will consider their failure as creators
only as a failure of the world
not being able to love fully
they will believe your love incomplete
and then they will hate you
and their hatred will be perfect
like a shining diamond
like a knife
like a mountain
like a tiger
like hemlock
their finest art
Submitted by Holt"
As The Poems Go,"As the poems go into the thousands you
realize that you've created very
little.
it comes down to the rain, the sunlight,
the traffic, the nights and the days of the
years, the faces.
leaving this will be easier than living
it, typing one more line now as
a man plays a piano through the radio,
the best writers have said very
little
and the worst,
far too much."
Confession,"waiting for death
like a cat
that will jump on the
bed
I am so very sorry for
my wife
she will see this
stiff
white
body
shake it once, then
maybe
again
""Hank!""
Hank won't
answer.
it's not my death that
worries me, it's my wife
left with this
pile of
nothing.
I want to
let her know
though
that all the nights
sleeping
beside her
even the useless
arguments
were things
ever splendid
and the hard
words
I ever feared to
say
can now be
said:
I love
you."
Back To The Machine Gun,"I awaken about noon and go out to get the mail
in my old torn bathrobe.
I'm hung over
hair down in my eyes
barefoot
gingerly walking on the small sharp rocks
in my path
still afraid of pain behind my four-day beard.
the young housewife next door shakes a rug
out of her window and sees me:
""hello, Hank!""
god damn! it's almost like being shot in the ass
with a .22
""hello,"" I say
gathering up my Visa card bill, my Pennysaver coupons,
a Dept. of Water and Power past-due notice,
a letter from the mortgage people
plus a demand from the Weed Abatement Department
giving me 30 days to clean up my act.
I mince back again over the small sharp rocks
thinking, maybe I'd better write something tonight,
they all seem
to be closing in.
there's only one way to handle those motherfuckers.
the night harness races will have to wait."
Consummation Of Grief,"I even hear the mountains
the way they laugh
up and down their blue sides
and down in the water
the fish cry
and the water
is their tears.
I listen to the water
on nights I drink away
and the sadness becomes so great
I hear it in my clock
it becomes knobs upon my dresser
it becomes paper on the floor
it becomes a shoehorn
a laundry ticket
it becomes
cigarette smoke
climbing a chapel of dark vines. . .
it matters little
very little love is not so bad
or very little life
what counts
is waiting on walls
I was born for this
I was born to hustle roses down the avenues of the dead."
Carson Mccullers,"she died of alcoholism
wrapped in a blanket
on a deck chair
on an ocean
steamer.
all her books of
terrified loneliness
all her books about
the cruelty
of loveless love
were all that was left
of her
as the strolling vacationer
discovered her body
notified the captain
and she was quickly dispatched
to somewhere else
on the ship
as everything
continued just
as
she had written it"
"40,000","at the track today,
Father's Day,
each paid admission was
entitled to a wallet
and each contained a
little surprise.
most of the men seemed
between 30 and 55,
going to fat,
many of them in walking
shorts,
they had gone stale in
life,
flattened out....
in fact, damn it, they
aren't even worth writing
about!
why am I doing
this?
these don't even
deserve a death bed,
these little walking
whales,
only there are so
many of
them,
in the urinals,
in the food lines,
they have managed to
survive
in a most limited
sense
but when you see
so many of them
like that,
there and not there,
breathing, farting,
commenting,
waiting for a thunder
that will not arrive,
waiting for the charging
white horse of
Glory,
waiting for the lovely
female that is not
there,
waiting to WIN,
waiting for the great
dream to
engulf them
but they do nothing,
they clomp in their
sandals,
gnaw at hot dogs
dog style,
gulping at the
meat,
they complain about
losing,
blame the jocks,
drink green
beer,
the parking lot is
jammed with their
unpaid for
cars,
the jocks mount
again for another
race,
the men press
toward the betting
windows
mesmerized,
fathers and non-fathers
Monday is waiting
for them,
this is the last
big lark.
and the horses are
totally
beautiful.
it is shocking how
beautiful they
are
at that time,
at that place,
their life shines
through;
miracles happen,
even in
hell.
I decide to stay for
one more
race."
A Following,"the phone rang at 1:30 a.m.
and it was a man from Denver:"
Big Night On The Town,"drunk on the dark streets of some city,
it's night, you're lost, where's your
room?
you enter a bar to find yourself,
order scotch and water.
damned bar's sloppy wet, it soaks
part of one of your shirt
sleeves.
It's a clip joint-the scotch is weak.
you order a bottle of beer.
Madame Death walks up to you
wearing a dress.
she sits down, you buy her a
beer, she stinks of swamps, presses
a leg against you.
the bar tender sneers.
you've got him worried, he doesn't
know if you're a cop, a killer, a
madman or an
Idiot.
you ask for a vodka.
you pour the vodka into the top of
the beer bottle.
It's one a.m. In a dead cow world.
you ask her how much for head,
drink everything down, it tastes
like machine oil.
you leave Madame Death there,
you leave the sneering bartender
there.
you have remembered where
your room is.
the room with the full bottle of
wine on the dresser.
the room with the dance of the
roaches.
Perfection in the Star Turd
where love died
laughing."
Close To Greatness,"at one stage in my life
I met a man who claimed to have
visited Pound at St. Elizabeths.
then I met a woman who not only
claimed to have visited
E.P.
but also to have made love
to him—she even showed
me
certain sections in the
Cantos
where Ezra was supposed to have
mentioned
her.
so there was this man and
this woman
and the woman told me
that Pound had never
mentioned a visit from this
man
and the man claimed that the
lady had had nothing to do
with the
master
that she was a
charlatan
and since I wasn't a
Poundian scholar
I didn't know who to
believe
but one thing I do
know: when a man is
living
many claim relationships
that are hardly
so
and after he dies, well,
then it's everybody's
party.
my guess is that Pound
knew neither the lady or the
gentleman
or if he knew
one
or if he knew
both
it was a shameful waste of
madhouse
time."
Yes Yes,"when God created love he didn't help most
when God created dogs He didn't help dogs
when God created plants that was average
when God created hate we had a standard utility
when God created me He created me
when God created the monkey He was asleep
when He created the giraffe He was drunk
when He created narcotics He was high
and when He created suicide He was low
when He created you lying in bed
He knew what He was doing
He was drunk and He was high
and He created the mountians and the sea and fire at the same time
He made some mistakes
but when He created you lying in bed
He came all over His Blessed Universe.
Submitted by .eve."
To The Whore Who Took My Poems,"some say we should keep personal remorse from the
poem,
stay abstract, and there is some reason in this,
but jezus;
twelve poems gone and I don't keep carbons and you have
my
paintings too, my best ones; its stifling:
are you trying to crush me out like the rest of them?
why didn't you take my money? they usually do
from the sleeping drunken pants sick in the corner.
next time take my left arm or a fifty
but not my poems:
I'm not Shakespeare
but sometime simply
there won't be any more, abstract or otherwise;
there'll always be mony and whores and drunkards
down to the last bomb,
but as God said,
crossing his legs,
I see where I have made plenty of poets
but not so very much
poetry."
2 Flies,"The flies are angry bits of life;
why are they so angry?
it seems they want more,
it seems almost as if they
are angry
that they are flies;
it is not my fault;
I sit in the room
with them
and they taunt me
with their agony;
it is as if they were
loose chunks of soul
left out of somewhere;
I try to read a paper
but they will not let me
be;
one seems to go in half-circles
high along the wall,
throwing a miserable sound
upon my head;
the other one, the smaller one
stays near and teases my hand,
saying nothing,
rising, dropping
crawling near;
what god puts these
lost things upon me?
other men suffer dictates of
empire, tragic love…
I suffer
insects…
I wave at the little one
which only seems to revive
his impulse to challenge:
he circles swifter,
nearer, even making
a fly-sound,
and one above
catching a sense of the new
whirling, he too, in excitement,
speeds his flight,
drops down suddenly
in a cuff of noise
and they join
in circling my hand,
strumming the base
of the lampshade
until some man-thing
in me
will take no more
unholiness
and I strike
with the rolled-up-paper -
missing! -
striking,
striking,
they break in discord,
some message lost between them,
and I get the big one
first, and he kicks on his back
flicking his legs
like an angry whore,
and I come down again
with my paper club
and he is a smear
of fly-ugliness;
the little one circles high
now, quiet and swift,
almost invisible;
he does not come near
my hand again;
he is tamed and
inaccessible; I leave
him be, he leaves me
be;
the paper, of course,
is ruined;
something has happened,
something has soiled my
day,
sometimes it does not
take man
or a woman,
only something alive;
I sit and watch
the small one;
we are woven together
in the air
and the living;
it is late
for both of us."
Raw With Love,"little dark girl with
kind eyes
when it comes time to
use the knife
I won't flinch and
I won't blame
you,
as I drive along the shore alone
as the palms wave,
the ugly heavy palms,
as the living does not arrive
as the dead do not leave,
I won't blame you,
instead
I will remember the kisses
our lips raw with love
and how you gave me
everything you had
and how I
offered you what was left of
me,
and I will remember your small room
the feel of you
the light in the window
your records
your books
our morning coffee
our noons our nights
our bodies spilled together
sleeping
the tiny flowing currents
immediate and forever
your leg my leg
your arm my arm
your smile and the warmth
of you
who made me laugh
again.
little dark girl with kind eyes
you have no
knife. the knife is
mine and I won't use it
yet."
Cows In Art Class,"good weather
is like
good women-
it doesn't always happen
and when it does
it doesn't
always last.
man is
more stable:
if he's bad
there's more chance
he'll stay that way,
or if he's good
he might hang
on,
but a woman
is changed
by
children
age
diet
conversation
sex
the moon
the absence or
presence of sun
or good times.
a woman must be nursed
into subsistence
by love
where a man can become
stronger
by being hated."
Girl In A Miniskirt Reading The Bible Outside My Window,"Sunday, I am eating a
grapefruit, church is over at the Russian
Orthadox to the
west.
she is dark
of Eastern descent,
large brown eyes look up from the Bible
then down. a small red and black
Bible, and as she reads
her legs keep moving, moving,
she is doing a slow rythmic dance
reading the Bible. . .
long gold earrings;
2 gold bracelets on each arm,
and it's a mini-suit, I suppose,
the cloth hugs her body,
the lightest of tans is that cloth,
she twists this way and that,
long yellow legs warm in the sun. . .
there is no escaping her being
there is no desire to. . .
my radio is playing symphonic music
that she cannot hear
but her movements coincide exactly
to the rythms of the
symphony. . .
she is dark, she is dark
she is reading about God.
I am God."
Eulogy To A Hell Of A Dame,"some dogs who sleep At night
must dream of bones
and I remember your bones
in flesh
and best
in that dark green dress
and those high-heeled bright
black shoes,
you always cursed when you drank,
your hair coming down you
wanted to explode out of
what was holding you:
rotten memories of a
rotten
past, and
you finally got
out
by dying,
leaving me with the
rotten
present;
you've been dead
28 years
yet I remember you
better than any of
the rest;
you were the only one
who understood
the futility of the
arrangement of
life;
all the others were only
displeased with
trivial segments,
carped
nonsensically about
nonsense;
Jane, you were
killed by
knowing too much.
here's a drink
to your bones
that
this dog
still
dreams about."
Finish,"We are like roses that have never bothered to
bloom when we should have bloomed and
it is as if
the sun has become disgusted with
waiting"
Death Wants More Death,"death wants more death, and its webs are full:
I remember my father's garage, how child-like
I would brush the corpses of flies
from the windows they thought were escape-
their sticky, ugly, vibrant bodies
shouting like dumb crazy dogs against the glass
only to spin and flit
in that second larger than hell or heaven
onto the edge of the ledge,
and then the spider from his dank hole
nervous and exposed
the puff of body swelling
hanging there
not really quite knowing,
and then knowing-
something sending it down its string,
the wet web,
toward the weak shield of buzzing,
the pulsing;
a last desperate moving hair-leg
there against the glass
there alive in the sun,
spun in white;
and almost like love:
the closing over,
the first hushed spider-sucking:
filling its sack
upon this thing that lived;
crouching there upon its back
drawing its certain blood
as the world goes by outside
and my temples scream
and I hurl the broom against them:
the spider dull with spider-anger
still thinking of its prey
and waving an amazed broken leg;
the fly very still,
a dirty speck stranded to straw;
I shake the killer loose
and he walks lame and peeved
towards some dark corner
but I intercept his dawdling
his crawling like some broken hero,
and the straws smash his legs
now waving
above his head
and looking
looking for the enemy
and somewhat valiant,
dying without apparent pain
simply crawling backward
piece by piece
leaving nothing there
until at last the red gut sack
splashes
its secrets,
and I run child-like
with God's anger a step behind,
back to simple sunlight,
wondering
as the world goes by
with curled smile
if anyone else
saw or sensed my crime"
"Pull A String, A Puppet Moves","each man must realize
that it can all disappear very
quickly:
the cat, the woman, the job,
the front tire,
the bed, the walls, the
room; all our necessities
including love,
rest on foundations of sand -
and any given cause,
no matter how unrelated:
the death of a boy in Hong Kong
or a blizzard in Omaha ...
can serve as your undoing.
all your chinaware crashing to the
kitchen floor, your girl will enter
and you'll be standing, drunk,
in the center of it and she'll ask:
my god, what's the matter?
and you'll answer: I don't know,
I don't know ..."
Friends Within The Darkness,"I can remember starving in a
small room in a strange city
shades pulled down, listening to
classical music
I was young I was so young it hurt like a knife
inside
because there was no alternative except to hide as long
as possible--
not in self-pity but with dismay at my limited chance:
trying to connect.
the old composers -- Mozart, Bach, Beethoven,
Brahms were the only ones who spoke to me and
they were dead.
finally, starved and beaten, I had to go into
the streets to be interviewed for low-paying and
monotonous
jobs
by strange men behind desks
men without eyes men without faces
who would take away my hours
break them
piss on them.
now I work for the editors the readers the
critics
but still hang around and drink with
Mozart, Bach, Brahms and the
Bee
some buddies
some men
sometimes all we need to be able to continue alone
are the dead
rattling the walls
that close us in.
Anonymous submission."
Curtain,"the final curtain on one of the longest running
musicals ever, some people claim to have
seen it over one hundred times.
I saw it on the tv news, that final curtain:
flowers, cheers, tears, a thunderous
accolade.
I have not seen this particular musical
but I know if I had that I wouldn't have
been able to bear it, it would have
sickened me.
trust me on this, the world and its
peoples and its artful entertainment has
done very little for me, only to me.
still, let them enjoy one another, it will
keep them from my door
and for this, my own thunderous
accolade."
For Jane,"225 days under grass
and you know more than I.
they have long taken your blood,
you are a dry stick in a basket.
is this how it works?
in this room
the hours of love
still make shadows.
when you left
you took almost
everything.
I kneel in the nights
before tigers
that will not let me be.
what you were
will not happen again.
the tigers have found me
and I do not care."
Eat Your Heart Out,"I've come by, she says, to tell you
that this is it. I'm not kidding, it's
over. this is it.
I sit on the couch watching her arrange
her long red hair before my bedroom
mirror.
she pulls her hair up and
piles it on top of her head-
she lets her eyes look at
my eyes-
then she drops her hair and
lets it fall down in front of her face.
we go to bed and I hold her
speechlessly from the back
my arm around her neck
I touch her wrists and hands
feel up to
her elbows
no further.
she gets up.
this is it, she says,
this will do. well,
I'm going.
I get up and walk her
to the door
just as she leaves
she says,
I want you to buy me
some high-heeled shoes
with tall thin spikes,
black high-heeled shoes.
no, I want them
red.
I watch her walk down the cement walk
under the trees
she walks all right and
as the pointsettas drip in the sun
I close the door."
Nirvana,"not much chance,
completely cut loose from
purpose,
he was a young man
riding a bus
through North Carolina
on the wat to somewhere
and it began to snow
and the bus stopped
at a little cafe
in the hills
and the passengers
entered.
he sat at the counter
with the others,
he ordered and the
food arived.
the meal was
particularly
good
and the
coffee.
the waitress was
unlike the women
he had
known.
she was unaffected,
there was a natural
humor which came
from her.
the fry cook said
crazy things.
the dishwasher.
in back,
laughed, a good
clean
pleasant
laugh.
the young man watched
the snow through the
windows.
he wanted to stay
in that cafe
forever.
the curious feeling
swam through him
that everything
was
beautiful
there,
that it would always
stay beautiful
there.
then the bus driver
told the passengers
that it was time
to board.
the young man
thought, I’ll just sit
here, I’ll just stay
here.
but then
he rose and followed
the others into the
bus.
he found his seat
and looked at the cafe
through the bus
window.
then the bus moved
off, down a curve,
downward, out of
the hills.
the young man
looked straight
foreward.
he heard the other
passengers
speaking
of other things,
or they were
reading
or
attempting to
sleep.
they had not
noticed
the
magic.
the young man
put his head to
one side,
closed his
eyes,
pretended to
sleep.
there was nothing
else to do-
just to listen to the
sound of the
engine,
the sound of the
tires
in the
snow."
8 Count,"from my bed
I watch
3 birds
on a telephone
wire.
one flies
off.
then
another.
one is left,
then
it too
is gone.
my typewriter is
tombstone
still.
and I am
reduced to bird
watching.
just thought I'd
let you
know,
fucker."
16-Bit Intel 8088 Chip,"with an Apple Macintosh
you can't run Radio Shack programs
in its disc drive.
nor can a Commodore 64
drive read a file
you have created on an
IBM Personal Computer.
both Kaypro and Osborne computers use
the CP/M operating system
but can't read each other's
handwriting
for they format (write
on) discs in different
ways.
the Tandy 2000 runs MS-DOS but
can't use most programs produced for
the IBM Personal Computer
unless certain
bits and bytes are
altered
but the wind still blows over
Savannah
and in the Spring
the turkey buzzard struts and
flounces before his
hens."
I Met A Genius,"I met a genius on the train
today
about 6 years old,
he sat beside me
and as the train
ran down along the coast
we came to the ocean
and then he looked at me
and said,
it's not pretty."
Whats The Use Of A Title?,"They don't make it
the beautiful die in flame-
suicide pills, rat poison, rope what-
ever...
they rip their arms off,
throw themselves out of windows,
they pull their eyes out of the sockets,
reject love
reject hate
reject, reject.
they don't make it
the beautiful can't endure,
they are butterflies
they are doves
they are sparrows,
they don't make it.
one tall shot of flame
while the old men play checkers in the park
one flame, one good flame
while the old men play checkers in the park
in the sun.
the beautiful are found in the edge of a room
crumpled into spiders and needles and silence
and we can never understand why they
left, they were so
beautiful.
they don't make it,
the beautiful die young
and leave the ugly to their ugly lives.
lovely and brilliant: life and suicide and death
as the old men play checkers in the sun
in the park.
Anonymous submission."
Oh Yes,"there are worse things than
being alone
but it often takes decades
to realize this
and most often
when you do
it's too late
and there's nothing worse
than
too late."
"For Jane: With All The Love I Had, Which Was Not Enough:","I pick up the skirt,
I pick up the sparkling beads
in black,
this thing that moved once
around flesh,
and I call God a liar,
I say anything that moved
like that
or knew
my name
could never die
in the common verity of dying,
and I pick
up her lovely
dress,
all her loveliness gone,
and I speak to all the gods,
Jewish gods, Christ-gods,
chips of blinking things,
idols, pills, bread,
fathoms, risks,
knowledgeable surrender,
rats in the gravy of two gone quite mad
without a chance,
hummingbird knowledge, hummingbird chance,
I lean upon this,
I lean on all of this
and I know
her dress upon my arm
but
they will not
give her back to me."
Freedom,"he drank wine all night of the
28th, and he kept thinking of her:
the way she walked and talked and loved
the way she told him things that seemed true
but were not, and he knew the color of each
of her dresses
and her shoes-he knew the stock and curve of
each heel
as well as the leg shaped by it.
and she was out again and when he came home,and
she'd come back with that special stink again,
and she did
she came in at 3 a.m in the morning
filthy like a dung eating swine
and
he took out a butchers knife
and she screamed
backing into the rooming house wall
still pretty somehow
in spite of love's reek
and he finished the glass of wine.
that yellow dress
his favorite
and she screamed again.
and he took up the knife
and unhooked his belt
and tore away the cloth before her
and cut off his balls.
and carried them in his hands
like apricots
and flushed them down the
toilet bowl
and she kept screaming
as the room became red
GOD O GOD!
WHAT HAVE YOU DONE?
and he sat there holding 3 towels
between his legs
no caring now whether she left or
stayed
wore yellow or green or
anything at all.
and one hand holding and one hand
lifting he poured
another wine"
