Title,Content,Cleaned_Content
A Radio With Guts,"it was on the 2nd floor on Coronado Street
I used to get drunk
and throw the radio through the window
while it was playing, and, of course,
it would break the glass in the window
and the radio would sit there on the roof
still playing
and I'd tell my woman,
""Ah, what a marvelous radio!""
the next morning I'd take the window
off the hinges
and carry it down the street
to the glass man
who would put in another pane.
I kept throwing that radio through the window
each time I got drunk
and it would sit there on the roof
still playing-
a magic radio
a radio with guts,
and each morning I'd take the window
back to the glass man.
I don't remember how it ended exactly
though I do remember
we finally moved out.
there was a woman downstairs who worked in
the garden in her bathing suit,
she really dug with that trowel
and she put her behind up in the air
and I used to sit in the window
and watch the sun shine all over that thing
while the music played.",it was on the nd floor on coronado street i used to get drunk and throw the radio through the window while it was playing and of course it would break the glass in the window and the radio would sit there on the roof still playing and id tell my woman ah what a marvelous radio the next morning id take the window off the hinges and carry it down the street to the glass man who would put in another pane i kept throwing that radio through the window each time i got drunk and it would sit there on the roof still playing a magic radio a radio with guts and each morning id take the window back to the glass man i dont remember how it ended exactly though i do remember we finally moved out there was a woman downstairs who worked in the garden in her bathing suit she really dug with that trowel and she put her behind up in the air and i used to sit in the window and watch the sun shine all over that thing while the music played
The Genius Of The Crowd,"there is enough treachery, hatred violence absurdity in the average
human being to supply any given army on any given day
and the best at murder are those who preach against it
and the best at hate are those who preach love
and the best at war finally are those who preach peace
those who preach god, need god
those who preach peace do not have peace
those who preach peace do not have love
beware the preachers
beware the knowers
beware those who are always reading books
beware those who either detest poverty
or are proud of it
beware those quick to praise
for they need praise in return
beware those who are quick to censor
they are afraid of what they do not know
beware those who seek constant crowds for
they are nothing alone
beware the average man the average woman
beware their love, their love is average
seeks average
but there is genius in their hatred
there is enough genius in their hatred to kill you
to kill anybody
not wanting solitude
not understanding solitude
they will attempt to destroy anything
that differs from their own
not being able to create art
they will not understand art
they will consider their failure as creators
only as a failure of the world
not being able to love fully
they will believe your love incomplete
and then they will hate you
and their hatred will be perfect
like a shining diamond
like a knife
like a mountain
like a tiger
like hemlock
their finest art
Submitted by Holt",there is enough treachery hatred violence absurdity in the average human being to supply any given army on any given day and the best at murder are those who preach against it and the best at hate are those who preach love and the best at war finally are those who preach peace those who preach god need god those who preach peace do not have peace those who preach peace do not have love beware the preachers beware the knowers beware those who are always reading books beware those who either detest poverty or are proud of it beware those quick to praise for they need praise in return beware those who are quick to censor they are afraid of what they do not know beware those who seek constant crowds for they are nothing alone beware the average man the average woman beware their love their love is average seeks average but there is genius in their hatred there is enough genius in their hatred to kill you to kill anybody not wanting solitude not understanding solitude they will attempt to destroy anything that differs from their own not being able to create art they will not understand art they will consider their failure as creators only as a failure of the world not being able to love fully they will believe your love incomplete and then they will hate you and their hatred will be perfect like a shining diamond like a knife like a mountain like a tiger like hemlock their finest art submitted by holt
As The Poems Go,"As the poems go into the thousands you
realize that you've created very
little.
it comes down to the rain, the sunlight,
the traffic, the nights and the days of the
years, the faces.
leaving this will be easier than living
it, typing one more line now as
a man plays a piano through the radio,
the best writers have said very
little
and the worst,
far too much.",as the poems go into the thousands you realize that youve created very little it comes down to the rain the sunlight the traffic the nights and the days of the years the faces leaving this will be easier than living it typing one more line now as a man plays a piano through the radio the best writers have said very little and the worst far too much
Confession,"waiting for death
like a cat
that will jump on the
bed
I am so very sorry for
my wife
she will see this
stiff
white
body
shake it once, then
maybe
again
""Hank!""
Hank won't
answer.
it's not my death that
worries me, it's my wife
left with this
pile of
nothing.
I want to
let her know
though
that all the nights
sleeping
beside her
even the useless
arguments
were things
ever splendid
and the hard
words
I ever feared to
say
can now be
said:
I love
you.",waiting for death like a cat that will jump on the bed i am so very sorry for my wife she will see this stiff white body shake it once then maybe again hank hank wont answer its not my death that worries me its my wife left with this pile of nothing i want to let her know though that all the nights sleeping beside her even the useless arguments were things ever splendid and the hard words i ever feared to say can now be said i love you
Back To The Machine Gun,"I awaken about noon and go out to get the mail
in my old torn bathrobe.
I'm hung over
hair down in my eyes
barefoot
gingerly walking on the small sharp rocks
in my path
still afraid of pain behind my four-day beard.
the young housewife next door shakes a rug
out of her window and sees me:
""hello, Hank!""
god damn! it's almost like being shot in the ass
with a .22
""hello,"" I say
gathering up my Visa card bill, my Pennysaver coupons,
a Dept. of Water and Power past-due notice,
a letter from the mortgage people
plus a demand from the Weed Abatement Department
giving me 30 days to clean up my act.
I mince back again over the small sharp rocks
thinking, maybe I'd better write something tonight,
they all seem
to be closing in.
there's only one way to handle those motherfuckers.
the night harness races will have to wait.",i awaken about noon and go out to get the mail in my old torn bathrobe im hung over hair down in my eyes barefoot gingerly walking on the small sharp rocks in my path still afraid of pain behind my fourday beard the young housewife next door shakes a rug out of her window and sees me hello hank god damn its almost like being shot in the ass with a hello i say gathering up my visa card bill my pennysaver coupons a dept of water and power pastdue notice a letter from the mortgage people plus a demand from the weed abatement department giving me days to clean up my act i mince back again over the small sharp rocks thinking maybe id better write something tonight they all seem to be closing in theres only one way to handle those motherfuckers the night harness races will have to wait
Consummation Of Grief,"I even hear the mountains
the way they laugh
up and down their blue sides
and down in the water
the fish cry
and the water
is their tears.
I listen to the water
on nights I drink away
and the sadness becomes so great
I hear it in my clock
it becomes knobs upon my dresser
it becomes paper on the floor
it becomes a shoehorn
a laundry ticket
it becomes
cigarette smoke
climbing a chapel of dark vines. . .
it matters little
very little love is not so bad
or very little life
what counts
is waiting on walls
I was born for this
I was born to hustle roses down the avenues of the dead.",i even hear the mountains the way they laugh up and down their blue sides and down in the water the fish cry and the water is their tears i listen to the water on nights i drink away and the sadness becomes so great i hear it in my clock it becomes knobs upon my dresser it becomes paper on the floor it becomes a shoehorn a laundry ticket it becomes cigarette smoke climbing a chapel of dark vines it matters little very little love is not so bad or very little life what counts is waiting on walls i was born for this i was born to hustle roses down the avenues of the dead
Carson Mccullers,"she died of alcoholism
wrapped in a blanket
on a deck chair
on an ocean
steamer.
all her books of
terrified loneliness
all her books about
the cruelty
of loveless love
were all that was left
of her
as the strolling vacationer
discovered her body
notified the captain
and she was quickly dispatched
to somewhere else
on the ship
as everything
continued just
as
she had written it",she died of alcoholism wrapped in a blanket on a deck chair on an ocean steamer all her books of terrified loneliness all her books about the cruelty of loveless love were all that was left of her as the strolling vacationer discovered her body notified the captain and she was quickly dispatched to somewhere else on the ship as everything continued just as she had written it
"40,000","at the track today,
Father's Day,
each paid admission was
entitled to a wallet
and each contained a
little surprise.
most of the men seemed
between 30 and 55,
going to fat,
many of them in walking
shorts,
they had gone stale in
life,
flattened out....
in fact, damn it, they
aren't even worth writing
about!
why am I doing
this?
these don't even
deserve a death bed,
these little walking
whales,
only there are so
many of
them,
in the urinals,
in the food lines,
they have managed to
survive
in a most limited
sense
but when you see
so many of them
like that,
there and not there,
breathing, farting,
commenting,
waiting for a thunder
that will not arrive,
waiting for the charging
white horse of
Glory,
waiting for the lovely
female that is not
there,
waiting to WIN,
waiting for the great
dream to
engulf them
but they do nothing,
they clomp in their
sandals,
gnaw at hot dogs
dog style,
gulping at the
meat,
they complain about
losing,
blame the jocks,
drink green
beer,
the parking lot is
jammed with their
unpaid for
cars,
the jocks mount
again for another
race,
the men press
toward the betting
windows
mesmerized,
fathers and non-fathers
Monday is waiting
for them,
this is the last
big lark.
and the horses are
totally
beautiful.
it is shocking how
beautiful they
are
at that time,
at that place,
their life shines
through;
miracles happen,
even in
hell.
I decide to stay for
one more
race.",at the track today fathers day each paid admission was entitled to a wallet and each contained a little surprise most of the men seemed between and going to fat many of them in walking shorts they had gone stale in life flattened out in fact damn it they arent even worth writing about why am i doing this these dont even deserve a death bed these little walking whales only there are so many of them in the urinals in the food lines they have managed to survive in a most limited sense but when you see so many of them like that there and not there breathing farting commenting waiting for a thunder that will not arrive waiting for the charging white horse of glory waiting for the lovely female that is not there waiting to win waiting for the great dream to engulf them but they do nothing they clomp in their sandals gnaw at hot dogs dog style gulping at the meat they complain about losing blame the jocks drink green beer the parking lot is jammed with their unpaid for cars the jocks mount again for another race the men press toward the betting windows mesmerized fathers and nonfathers monday is waiting for them this is the last big lark and the horses are totally beautiful it is shocking how beautiful they are at that time at that place their life shines through miracles happen even in hell i decide to stay for one more race
A Following,"the phone rang at 1:30 a.m.
and it was a man from Denver:",the phone rang at am and it was a man from denver
Big Night On The Town,"drunk on the dark streets of some city,
it's night, you're lost, where's your
room?
you enter a bar to find yourself,
order scotch and water.
damned bar's sloppy wet, it soaks
part of one of your shirt
sleeves.
It's a clip joint-the scotch is weak.
you order a bottle of beer.
Madame Death walks up to you
wearing a dress.
she sits down, you buy her a
beer, she stinks of swamps, presses
a leg against you.
the bar tender sneers.
you've got him worried, he doesn't
know if you're a cop, a killer, a
madman or an
Idiot.
you ask for a vodka.
you pour the vodka into the top of
the beer bottle.
It's one a.m. In a dead cow world.
you ask her how much for head,
drink everything down, it tastes
like machine oil.
you leave Madame Death there,
you leave the sneering bartender
there.
you have remembered where
your room is.
the room with the full bottle of
wine on the dresser.
the room with the dance of the
roaches.
Perfection in the Star Turd
where love died
laughing.",drunk on the dark streets of some city its night youre lost wheres your room you enter a bar to find yourself order scotch and water damned bars sloppy wet it soaks part of one of your shirt sleeves its a clip jointthe scotch is weak you order a bottle of beer madame death walks up to you wearing a dress she sits down you buy her a beer she stinks of swamps presses a leg against you the bar tender sneers youve got him worried he doesnt know if youre a cop a killer a madman or an idiot you ask for a vodka you pour the vodka into the top of the beer bottle its one am in a dead cow world you ask her how much for head drink everything down it tastes like machine oil you leave madame death there you leave the sneering bartender there you have remembered where your room is the room with the full bottle of wine on the dresser the room with the dance of the roaches perfection in the star turd where love died laughing
Close To Greatness,"at one stage in my life
I met a man who claimed to have
visited Pound at St. Elizabeths.
then I met a woman who not only
claimed to have visited
E.P.
but also to have made love
to him—she even showed
me
certain sections in the
Cantos
where Ezra was supposed to have
mentioned
her.
so there was this man and
this woman
and the woman told me
that Pound had never
mentioned a visit from this
man
and the man claimed that the
lady had had nothing to do
with the
master
that she was a
charlatan
and since I wasn't a
Poundian scholar
I didn't know who to
believe
but one thing I do
know: when a man is
living
many claim relationships
that are hardly
so
and after he dies, well,
then it's everybody's
party.
my guess is that Pound
knew neither the lady or the
gentleman
or if he knew
one
or if he knew
both
it was a shameful waste of
madhouse
time.",at one stage in my life i met a man who claimed to have visited pound at st elizabeths then i met a woman who not only claimed to have visited ep but also to have made love to himshe even showed me certain sections in the cantos where ezra was supposed to have mentioned her so there was this man and this woman and the woman told me that pound had never mentioned a visit from this man and the man claimed that the lady had had nothing to do with the master that she was a charlatan and since i wasnt a poundian scholar i didnt know who to believe but one thing i do know when a man is living many claim relationships that are hardly so and after he dies well then its everybodys party my guess is that pound knew neither the lady or the gentleman or if he knew one or if he knew both it was a shameful waste of madhouse time
Yes Yes,"when God created love he didn't help most
when God created dogs He didn't help dogs
when God created plants that was average
when God created hate we had a standard utility
when God created me He created me
when God created the monkey He was asleep
when He created the giraffe He was drunk
when He created narcotics He was high
and when He created suicide He was low
when He created you lying in bed
He knew what He was doing
He was drunk and He was high
and He created the mountians and the sea and fire at the same time
He made some mistakes
but when He created you lying in bed
He came all over His Blessed Universe.
Submitted by .eve.",when god created love he didnt help most when god created dogs he didnt help dogs when god created plants that was average when god created hate we had a standard utility when god created me he created me when god created the monkey he was asleep when he created the giraffe he was drunk when he created narcotics he was high and when he created suicide he was low when he created you lying in bed he knew what he was doing he was drunk and he was high and he created the mountians and the sea and fire at the same time he made some mistakes but when he created you lying in bed he came all over his blessed universe submitted by eve
To The Whore Who Took My Poems,"some say we should keep personal remorse from the
poem,
stay abstract, and there is some reason in this,
but jezus;
twelve poems gone and I don't keep carbons and you have
my
paintings too, my best ones; its stifling:
are you trying to crush me out like the rest of them?
why didn't you take my money? they usually do
from the sleeping drunken pants sick in the corner.
next time take my left arm or a fifty
but not my poems:
I'm not Shakespeare
but sometime simply
there won't be any more, abstract or otherwise;
there'll always be mony and whores and drunkards
down to the last bomb,
but as God said,
crossing his legs,
I see where I have made plenty of poets
but not so very much
poetry.",some say we should keep personal remorse from the poem stay abstract and there is some reason in this but jezus twelve poems gone and i dont keep carbons and you have my paintings too my best ones its stifling are you trying to crush me out like the rest of them why didnt you take my money they usually do from the sleeping drunken pants sick in the corner next time take my left arm or a fifty but not my poems im not shakespeare but sometime simply there wont be any more abstract or otherwise therell always be mony and whores and drunkards down to the last bomb but as god said crossing his legs i see where i have made plenty of poets but not so very much poetry
